video,component,status,rc,wall_s,user_s,sys_s,cpu_pct,max_rss_mb,minor_faults,vol_ctx_sw,gpu_util_max,gpu_util_mean,gpu_mem_peak_mib,gpu_mem_mean_mib
--jz7k19d90,download,ok,0,6.0,,,,,,,,,,
--jz7k19d90,segmenter,ok,0,8.93,25.43,7.4,368,932.7,142101,50970,0.0,0.0,2519.0,2519.0
--jz7k19d90,core_clip,ok,0,52.26,13.34,3.9,33,1164.4,469081,47404,0.0,0.0,2519.0,2519.0
--jz7k19d90,core_depth_midas,ok,0,35.78,14.24,4.64,52,1390.8,399676,28085,41.0,1.5,2519.0,2519.0
--jz7k19d90,core_optical_flow,ok,0,50.49,22.03,4.68,52,1361.6,652720,27295,0.0,0.0,2519.0,2519.0
--jz7k19d90,cut_detection,ok,0,50.66,28.88,21.57,99,968.3,1017529,55168,0.0,0.0,2519.0,2519.0
--jz7k19d90,scene_classification,ok,0,51.38,62.04,5.07,130,1950.2,262405,49669,6.0,0.5,2891.0,2611.6
--jz7k19d90,video_pacing,ok,0,19.09,11.72,4.42,84,748.3,226985,13162,0.0,0.0,2891.0,2537.6
--jz7k19d90,uniqueness,ok,0,2.17,2.13,0.11,104,34.7,6003,2557,0.0,0.0,2519.0,2519.0
-08QxGsXkx8,download,ok,0,6.81,,,,,,,,,,
-08QxGsXkx8,segmenter,ok,0,7.91,24.28,8.1,410,455.9,133040,121991,0.0,0.0,2519.0,2519.0
-08QxGsXkx8,core_clip,ok,0,40.1,12.79,3.3,40,741.9,535778,41930,11.0,0.6,2519.0,2519.0
-08QxGsXkx8,core_depth_midas,ok,0,38.86,15.62,4.78,52,1070.6,445891,29182,25.0,2.2,2519.0,2519.0
-08QxGsXkx8,core_optical_flow,ok,0,58.48,25.31,5.38,52,986.9,767300,27260,100.0,7.1,2519.0,2519.0
-08QxGsXkx8,cut_detection,ok,0,43.54,24.02,24.27,110,534.8,1312580,60328,0.0,0.0,2833.0,2547.9
-08QxGsXkx8,scene_classification,ok,0,46.68,79.53,5.3,181,1506.9,258919,49971,12.0,2.2,3262.0,2845.2
-08QxGsXkx8,video_pacing,ok,0,13.16,8.35,2.71,84,358.7,155076,12037,0.0,0.0,2891.0,2546.6
-08QxGsXkx8,uniqueness,ok,0,2.01,2.24,0.13,119,33.9,6164,2544,0.0,0.0,2534.0,2526.5
-0CTdPrK_M4,download,ok,0,5.31,,,,,,,,,,
-0CTdPrK_M4,segmenter,ok,0,5.48,8.01,4.13,222,454.8,96749,17995,0.0,0.0,2519.0,2519.0
-0CTdPrK_M4,core_clip,ok,0,50.93,9.68,2.52,23,666.6,229268,45323,0.0,0.0,2707.0,2522.8
-0CTdPrK_M4,core_depth_midas,ok,0,27.09,8.86,3.5,45,741.3,242340,28033,100.0,3.7,2519.0,2519.0
-0CTdPrK_M4,core_optical_flow,ok,0,30.64,11.26,3.72,48,858.5,375009,27225,0.0,0.0,2519.0,2519.0
-0CTdPrK_M4,cut_detection,ok,0,39.47,14.97,9.45,61,518.4,455783,51940,0.0,0.0,2519.0,2519.0
-0CTdPrK_M4,scene_classification,ok,0,48.49,25.59,5.31,63,1350.3,247169,49435,8.0,0.3,2891.0,2588.6
-0CTdPrK_M4,video_pacing,ok,0,12.27,7.42,2.4,80,330.5,77375,12360,0.0,0.0,2519.0,2519.0
-0CTdPrK_M4,uniqueness,ok,0,1.94,2.28,0.1,124,35.3,5660,2563,0.0,0.0,2519.0,2519.0
-0g23pjxC7Y,download,ok,0,4.87,,,,,,,,,,
-0g23pjxC7Y,segmenter,ok,0,6.08,6.73,3.14,163,436.7,68816,8802,0.0,0.0,2519.0,2519.0
-0g23pjxC7Y,core_clip,ok,0,44.11,8.49,1.96,23,617.9,134765,45024,10.0,0.4,2519.0,2519.0
-0g23pjxC7Y,core_depth_midas,ok,0,24.76,6.81,1.95,35,605.5,155829,27472,11.0,0.4,2519.0,2519.0
-0g23pjxC7Y,core_optical_flow,ok,0,25.84,7.36,3.08,40,729.6,216541,26957,100.0,6.9,2519.0,2519.0
-0g23pjxC7Y,cut_detection,ok,0,40.27,12.01,5.99,44,456.8,187305,49192,60.0,1.5,2519.0,2519.0
-0g23pjxC7Y,scene_classification,ok,0,49.4,24.11,4.8,58,1307.9,250534,50864,53.0,1.4,3633.0,2736.6
-0g23pjxC7Y,video_pacing,ok,0,10.3,5.88,2.32,79,124.3,23557,11732,0.0,0.0,2519.0,2519.0
-0g23pjxC7Y,uniqueness,ok,0,2.27,2.14,0.09,99,32.4,5495,2526,0.0,0.0,2519.0,2519.0
-2TYpP_XcuE,download,ok,0,7.52,,,,,,,,,,
