video,status,npz_files,total_wall_s,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_mem_peak_mib,gpu_mem_mean_mib,gpu_samples
--jz7k19d90,complete,8,363.6,49.0,0.6,,2427.0,,347
-08QxGsXkx8,complete,8,356.0,25.0,0.2,0.0,2513.0,2427.3,338
-0CTdPrK_M4,complete,8,261.7,47.0,0.7,,2513.0,,250
-0g23pjxC7Y,complete,8,211.3,4.0,0.0,,2445.0,,204
-2TYpP_XcuE,complete,8,437.8,47.0,0.7,0.0,2439.0,2427.0,417
-4ZTWkO09n4,complete,8,574.3,66.0,0.7,,2427.0,,547
-5uh-3Yg8Wc,complete,8,234.7,29.0,0.1,,2427.0,,227
-63tdE9tJD0,complete,8,266.3,94.0,1.6,,3201.0,,257
-6PQjD6-YUA,complete,8,383.4,33.0,0.2,0.0,2513.0,2427.2,367
-77_MfZmLkg,complete,8,487.2,47.0,0.7,0.0,2427.0,2427.0,461
-9tUZUb5Z8Q,complete,8,440.7,61.0,0.5,,2513.0,,419
-APhlw9d2KY,complete,8,445.2,48.0,0.7,,2427.0,,422
-AssN_bljFU,complete,8,490.1,35.0,0.5,0.0,2427.0,2427.0,465
-GfgpQJihW4,complete,8,270.4,8.0,0.0,0.0,2513.0,2427.3,260
-IH8kA5ItfI,complete,8,534.6,52.0,0.7,,2513.0,,508
-J-XPik4yoA,complete,8,219.7,46.0,0.3,,2427.0,,212
-MQLv2xgg0s,complete,8,453.7,47.0,0.8,0.0,2427.0,2427.0,432
-NXcTEiJV8k,complete,8,318.9,13.0,0.1,0.0,2427.0,2427.0,307
-NqaupGcCpw,complete,8,458.5,48.0,0.9,0.0,2513.0,2427.2,438
-QD-kI9gFA8,complete,8,414.9,44.0,0.4,0.0,2513.0,2427.2,396
-TYL3ldGOfQ,complete,8,463.5,47.0,0.9,0.0,2513.0,2427.2,442
-YKOt-2SEn0,complete,8,506.0,47.0,0.8,0.0,2513.0,2427.2,481
-YMX6CNNugE,complete,8,464.5,46.0,0.4,,2427.0,,442
-YlmnPh-6rE,complete,8,500.8,10.0,0.1,0.0,2513.0,2427.2,476
-ZGhYcYm5ec,complete,8,480.3,37.0,0.5,0.0,2513.0,2427.2,455
-aOalxYcqaA,complete,8,502.9,47.0,0.8,0.0,2443.0,2427.0,480
-b6R90tTyr4,complete,8,470.4,40.0,0.4,,2513.0,,447
-bzI7MYSpr0,complete,8,213.2,61.0,0.4,,2513.0,,205
-g2QIxq_I7c,complete,8,395.8,47.0,0.5,0.0,2427.0,2427.0,377
-jdMxlDMKf8,complete,8,301.0,46.0,0.4,0.0,2443.0,2427.1,291
-kzwS6fFWy8,complete,8,443.2,48.0,0.7,0.0,2427.0,2427.0,424
-l4TnuEXQ8s,complete,8,475.2,47.0,0.3,0.0,2427.0,2427.0,452
-rpj5acpLKw,complete,8,251.9,10.0,0.0,,2427.0,,242
-sttFwxZPSo,complete,8,318.4,11.0,0.1,0.0,2427.0,2427.0,307
-t1WA7trelE,complete,8,316.5,8.0,0.0,0.0,2427.0,2427.0,305
-u-devGZao0,complete,8,535.1,47.0,0.5,0.0,2513.0,2427.2,508
-wPo7JowOLk,complete,8,221.0,16.0,0.1,,2427.0,,213
-z4lSj-YhKs,complete,8,305.3,10.0,0.1,0.0,2427.0,2427.0,293
00RlGST0Ff4,complete,8,517.2,35.0,0.6,0.0,2513.0,2427.2,493
00qaoE0f7A4,complete,8,303.5,24.0,0.2,0.0,2447.0,2427.1,292
01I9321tRt4,complete,8,499.5,47.0,0.6,0.0,2427.0,2427.0,473
02wjT-r-pZo,complete,8,427.6,73.0,0.5,0.0,2513.0,2427.2,408
04_4Bvo_pc8,complete,8,317.6,31.0,0.1,0.0,2513.0,2427.3,305
0588rgW8C1I,complete,8,387.7,24.0,0.5,0.0,2427.0,2427.0,368
05deYJMn-c8,complete,8,527.8,48.0,0.4,0.0,2427.0,2427.0,503
07D7us_BVOI,complete,8,284.8,65.0,0.2,0.0,2427.0,2427.0,273
07DxM0oGCcA,complete,8,293.2,47.0,0.2,0.0,2438.0,2427.0,282
0CNnfqNXcgo,complete,8,442.8,0.0,0.0,0.0,2427.0,2427.0,423
0ST9B9h26No,complete,8,390.8,47.0,0.4,0.0,2427.0,2427.0,375
0Uy1t5gvZtM,complete,8,418.8,24.0,0.1,0.0,2427.0,2427.0,399
0WXuzh00FkY,complete,8,405.3,47.0,0.3,0.0,2513.0,2427.2,386
0X1trN5lpzM,complete,8,506.8,1.0,0.0,0.0,2513.0,2427.2,482
0XIOjxj7idg,complete,8,477.8,47.0,0.6,0.0,2427.0,2427.0,453
0XXf7v9a9CI,complete,8,497.3,46.0,0.4,0.0,2427.0,2427.0,475
0XtnytVqLis,complete,8,328.4,8.0,0.0,0.0,2427.0,2427.0,316
0Y9fLzIJDPg,complete,8,270.7,24.0,0.1,0.0,2427.0,2427.0,261
0_fO2P3OT8M,complete,8,500.5,47.0,0.6,0.0,2513.0,2427.2,476
0bE_AAQUyc8,complete,8,313.9,17.0,0.1,0.0,2427.0,2427.0,302
0bTIkfbpmQY,complete,8,461.2,48.0,0.8,0.0,2427.0,2427.0,440
0ca60TrvcS8,complete,8,385.3,43.0,0.3,0.0,2513.0,2427.2,369
0d2cGxvgu1g,complete,8,223.5,25.0,0.1,,2427.0,,216
0df0TNo6OhM,complete,8,523.5,47.0,0.5,0.0,2427.0,2427.0,498
