video,component,status,rc,wall_s,user_s,sys_s,cpu_pct,max_rss_mb,minor_faults,vol_ctx_sw,gpu_util_max,gpu_util_mean,gpu_mem_peak_mib,gpu_mem_mean_mib
--jz7k19d90,download,ok,0,5.65,,,,,,,,,,
--jz7k19d90,segmenter,ok,0,7.77,,,,902.5,,,,,,
--jz7k19d90,core_clip,ok,0,60.06,,,,1307.2,,,,,,
--jz7k19d90,core_depth_midas,ok,0,53.33,,,,1530.7,,,,,,
--jz7k19d90,core_optical_flow,ok,0,42.01,,,,1503.9,,,,,,
--jz7k19d90,cut_detection,ok,0,86.89,,,,1593.9,,,,,,
--jz7k19d90,scene_classification,ok,0,87.59,,,,1590.4,,,,,,
--jz7k19d90,video_pacing,ok,0,18.04,,,,746.2,,,,,,
--jz7k19d90,uniqueness,ok,0,2.32,,,,34.9,,,,,,
-08QxGsXkx8,download,ok,0,4.64,,,,,,,,,,
-08QxGsXkx8,segmenter,ok,0,7.19,10.1,2.76,179,442.8,177793,81582,0.0,0.0,2427.0,2427.0
-08QxGsXkx8,core_clip,ok,0,60.86,8.67,2.47,18,890.4,555210,64468,0.0,0.0,2427.0,2427.0
-08QxGsXkx8,core_depth_midas,ok,0,57.46,18.31,4.73,40,1355.8,507535,43153,17.0,0.3,2427.0,2427.0
-08QxGsXkx8,core_optical_flow,ok,0,46.46,15.17,3.16,39,1137.6,791955,32276,25.0,0.8,2427.0,2427.0
-08QxGsXkx8,cut_detection,ok,0,80.12,17.28,8.19,31,1165.5,1138343,110211,0.0,0.0,2427.0,2427.0
-08QxGsXkx8,scene_classification,ok,0,82.16,222.43,2.33,273,1169.5,172654,66895,0.0,0.0,2513.0,2428.1
-08QxGsXkx8,video_pacing,ok,0,14.99,5.13,1.46,44,359.1,154515,13697,0.0,0.0,2427.0,2427.0
-08QxGsXkx8,uniqueness,ok,0,2.15,1.28,0.05,63,35.5,6152,2601,0.0,0.0,2427.0,2427.0
-0CTdPrK_M4,download,ok,0,4.07,,,,,,,,,,
-0CTdPrK_M4,segmenter,ok,0,3.79,,,,441.2,,,,,,
-0CTdPrK_M4,core_clip,ok,0,49.43,,,,852.2,,,,,,
-0CTdPrK_M4,core_depth_midas,ok,0,26.89,,,,893.7,,,,,,
-0CTdPrK_M4,core_optical_flow,ok,0,27.18,,,,1004.6,,,,,,
-0CTdPrK_M4,cut_detection,ok,0,71.58,,,,1143.6,,,,,,
-0CTdPrK_M4,scene_classification,ok,0,63.51,,,,1006.2,,,,,,
-0CTdPrK_M4,video_pacing,ok,0,13.27,,,,326.5,,,,,,
