feature,component,spearman_vs_residual,spearman_vs_target
video_pacing__cut_density_map_8bins_1,video_pacing,0.1138,0.1512
core_clip__scene_aesthetic_scores__std,core_clip,0.1025,0.1156
core_optical_flow__flow_dir_dispersion__p50,core_optical_flow,0.0969,0.095
video_pacing__motion_shot_corr,video_pacing,0.0932,0.0713
core_optical_flow__preview_flow_mag_map_norm__p90,core_optical_flow,-0.0916,-0.0694
cut_detection__cuts_per_minute,cut_detection,0.0912,0.1535
cut_detection__hard_cuts_per_minute,cut_detection,0.0912,0.1535
video_pacing__cut_density_map_8bins_3,video_pacing,0.0911,0.0912
cut_detection__motion_dir_consistency__p90,cut_detection,-0.0866,-0.1321
cut_detection__scene_whoosh_transition_prob,cut_detection,-0.0851,-0.0506
core_optical_flow__flow_dir_dispersion__mean,core_optical_flow,0.0848,0.092
core_clip__scene_aesthetic_scores__p90,core_clip,0.0845,0.122
core_optical_flow__flow_dir_dispersion__min,core_optical_flow,0.0834,0.0512
video_pacing__cut_density_map_8bins_2,video_pacing,0.0828,0.1012
core_clip__scene_luxury_scores__min,core_clip,0.0825,0.0585
cut_detection__shot_length_p75,cut_detection,-0.0807,-0.1409
core_optical_flow__preview_flow_mag_map_norm__mean,core_optical_flow,-0.079,-0.1075
cut_detection__motion_mag_variance__std,cut_detection,-0.0784,0.0258
cut_detection__whip_pan_transitions_count,cut_detection,-0.0778,-0.1261
core_clip__frame_embeddings__std,core_clip,0.0777,0.1371
scene_classification__length_frames__p90,scene_classification,-0.0764,-0.0905
scene_classification__frame_scene_embedding__std,scene_classification,0.0759,0.1363
core_optical_flow__cam_tx_per_sec_norm__p50,core_optical_flow,-0.0749,-0.0857
video_pacing__shot_duration_mean_normalized,video_pacing,-0.0748,-0.0854
cut_detection__cut_rhythm_uniformity_score,cut_detection,0.0739,0.1015
cut_detection__cut_interval_cv,cut_detection,-0.0735,-0.102
core_clip__places365_video_topk_indices__mean,core_clip,-0.073,-0.0948
core_optical_flow__flow_div_abs_mean__p90,core_optical_flow,0.0727,0.084
cut_detection__ssim_drop__max,cut_detection,-0.0725,-0.0837
cut_detection__avg_scene_length_shots,cut_detection,0.0722,0.0975
core_clip__scene_aesthetic_scores__max,core_clip,0.0717,0.0931
core_clip__places365_video_topk_indices__p50,core_clip,-0.0716,-0.0717
cut_detection__median_shot_length,cut_detection,-0.0705,-0.1235
