feature,component,pct_nan,nunique,is_constant,mean,std,min,max
core_clip__times_s__min,core_clip,1.03,1,True,0.0,0.0,0.0,0.0
core_optical_flow__motion_norm_per_sec_mean__min,core_optical_flow,2.41,1,True,0.0,0.0,0.0,0.0
core_optical_flow__preview_flow_mag_map_norm__max,core_optical_flow,2.41,1,True,1.0,0.0,1.0,1.0
core_optical_flow__preview_flow_mag_map_norm__min,core_optical_flow,2.41,1,True,0.0,0.0,0.0,0.0
core_optical_flow__preview_pair_pos__min,core_optical_flow,2.41,1,True,1.0,0.0,1.0,1.0
core_optical_flow__preview_prev_times_s__min,core_optical_flow,2.41,1,True,0.0,0.0,0.0,0.0
core_optical_flow__times_s__min,core_optical_flow,2.41,1,True,0.0,0.0,0.0,0.0
cut_detection__edit_style_cinematic_prob,cut_detection,2.06,1,True,0.0,0.0,0.0,0.0
cut_detection__edit_style_meme_prob,cut_detection,2.06,1,True,0.0,0.0,0.0,0.0
cut_detection__edit_style_social_prob,cut_detection,2.06,1,True,0.0,0.0,0.0,0.0
cut_detection__flow_valid_mask__mean,cut_detection,2.75,1,True,1.0,0.0,1.0,1.0
cut_detection__hard_score__min,cut_detection,2.75,1,True,0.0,0.0,0.0,0.0
cut_detection__hard_score__p50,cut_detection,2.75,1,True,0.0,0.0,0.0,0.0
cut_detection__scene_dissolve_transitions,cut_detection,2.06,1,True,0.0,0.0,0.0,0.0
cut_detection__scene_fade_transitions,cut_detection,2.06,1,True,0.0,0.0,0.0,0.0
cut_detection__scene_motion_transitions,cut_detection,2.06,1,True,0.0,0.0,0.0,0.0
cut_detection__scene_stylized_transitions,cut_detection,2.06,1,True,0.0,0.0,0.0,0.0
cut_detection__soft_flow_valid_mask__mean,cut_detection,2.75,1,True,1.0,0.0,1.0,1.0
cut_detection__ssim_valid_mask__mean,cut_detection,2.75,1,True,1.0,0.0,1.0,1.0
cut_detection__times_s__min,cut_detection,2.06,1,True,0.0,0.0,0.0,0.0
