a,b,spearman
core_clip__times_s__max,core_clip__times_s__mean,1.0
video_pacing__cuts_variance,video_pacing__shot_duration_std,1.0
uniqueness__effective_unique_ratio,uniqueness__repetition_ratio,1.0
scene_classification__mean_score__std,scene_classification__top1_prob_mean__std,1.0
scene_classification__mean_score__p90,scene_classification__top1_prob_mean__p90,1.0
scene_classification__mean_score__p50,scene_classification__top1_prob_mean__p50,1.0
scene_classification__mean_score__min,scene_classification__top1_prob_mean__min,1.0
scene_classification__mean_score__mean,scene_classification__top1_prob_mean__mean,1.0
scene_classification__mean_score__max,scene_classification__top1_prob_mean__max,1.0
scene_classification__frame_top1_prob__max,scene_classification__frame_topk_probs__max,1.0
core_optical_flow__preview_cur_times_s__std,core_optical_flow__times_s__std,1.0
core_optical_flow__preview_pair_pos__max,core_optical_flow__preview_pair_pos__mean,1.0
core_optical_flow__preview_pair_pos__max,core_optical_flow__preview_pair_pos__p50,1.0
core_optical_flow__preview_pair_pos__max,core_optical_flow__preview_pair_pos__p90,1.0
core_optical_flow__preview_pair_pos__max,core_optical_flow__preview_pair_pos__std,1.0
core_optical_flow__preview_cur_times_s__std,core_optical_flow__preview_prev_times_s__max,1.0
cut_detection__threshold_ssim__max,cut_detection__threshold_ssim__p50,1.0
cut_detection__threshold_ssim__max,cut_detection__threshold_ssim__p90,1.0
cut_detection__threshold_ssim__mean,cut_detection__threshold_ssim__min,1.0
cut_detection__threshold_ssim__mean,cut_detection__threshold_ssim__p50,1.0
cut_detection__threshold_ssim__mean,cut_detection__threshold_ssim__p90,1.0
cut_detection__threshold_ssim__min,cut_detection__threshold_ssim__p50,1.0
cut_detection__threshold_ssim__min,cut_detection__threshold_ssim__p90,1.0
cut_detection__threshold_ssim__p50,cut_detection__threshold_ssim__p90,1.0
cut_detection__times_s__max,cut_detection__times_s__mean,1.0
cut_detection__times_s__max,cut_detection__times_s__p50,1.0
cut_detection__times_s__max,cut_detection__times_s__p90,1.0
cut_detection__times_s__max,cut_detection__times_s__std,1.0
cut_detection__times_s__mean,cut_detection__times_s__p50,1.0
cut_detection__times_s__mean,cut_detection__times_s__p90,1.0
cut_detection__times_s__mean,cut_detection__times_s__std,1.0
cut_detection__times_s__p50,cut_detection__times_s__p90,1.0
cut_detection__threshold_flow__p50,cut_detection__threshold_flow__p90,1.0
cut_detection__threshold_hist__max,cut_detection__threshold_hist__mean,1.0
cut_detection__threshold_hist__max,cut_detection__threshold_hist__min,1.0
cut_detection__threshold_hist__max,cut_detection__threshold_hist__p50,1.0
cut_detection__threshold_hist__max,cut_detection__threshold_hist__p90,1.0
cut_detection__threshold_hist__mean,cut_detection__threshold_hist__min,1.0
cut_detection__threshold_hist__mean,cut_detection__threshold_hist__p50,1.0
cut_detection__threshold_hist__mean,cut_detection__threshold_hist__p90,1.0
cut_detection__threshold_hist__min,cut_detection__threshold_hist__p50,1.0
cut_detection__threshold_hist__min,cut_detection__threshold_hist__p90,1.0
core_clip__times_s__mean,core_clip__times_s__p50,1.0
core_clip__times_s__mean,core_clip__times_s__p90,1.0
core_clip__times_s__mean,core_clip__times_s__std,1.0
cut_detection__threshold_hist__p50,cut_detection__threshold_hist__p90,1.0
cut_detection__threshold_ssim__max,cut_detection__threshold_ssim__mean,1.0
cut_detection__threshold_ssim__max,cut_detection__threshold_ssim__min,1.0
cut_detection__pair_times_s__std,cut_detection__union_timestamps_sec__mean,1.0
cut_detection__pair_times_s__std,cut_detection__union_timestamps_sec__p50,1.0
cut_detection__pair_times_s__std,cut_detection__union_timestamps_sec__p90,1.0
cut_detection__pair_times_s__std,cut_detection__union_timestamps_sec__std,1.0
core_clip__times_s__p50,core_clip__times_s__p90,1.0
core_clip__times_s__p50,core_clip__times_s__std,1.0
cut_detection__scene_count,cut_detection__scene_hard_cut_transitions,1.0
cut_detection__threshold_flow__max,cut_detection__threshold_flow__mean,1.0
cut_detection__threshold_flow__max,cut_detection__threshold_flow__min,1.0
cut_detection__threshold_flow__max,cut_detection__threshold_flow__p50,1.0
cut_detection__threshold_flow__max,cut_detection__threshold_flow__p90,1.0
cut_detection__threshold_flow__mean,cut_detection__threshold_flow__min,1.0
cut_detection__threshold_flow__mean,cut_detection__threshold_flow__p50,1.0
cut_detection__threshold_flow__mean,cut_detection__threshold_flow__p90,1.0
cut_detection__threshold_flow__min,cut_detection__threshold_flow__p50,1.0
cut_detection__threshold_flow__min,cut_detection__threshold_flow__p90,1.0
cut_detection__pair_times_s__mean,cut_detection__union_timestamps_sec__p90,1.0
cut_detection__pair_times_s__mean,cut_detection__union_timestamps_sec__std,1.0
cut_detection__pair_times_s__p50,cut_detection__pair_times_s__p90,1.0
cut_detection__pair_times_s__p50,cut_detection__pair_times_s__std,1.0
cut_detection__pair_times_s__p50,cut_detection__union_timestamps_sec__max,1.0
cut_detection__pair_times_s__p50,cut_detection__union_timestamps_sec__mean,1.0
cut_detection__pair_times_s__p50,cut_detection__union_timestamps_sec__p50,1.0
cut_detection__pair_times_s__p50,cut_detection__union_timestamps_sec__p90,1.0
cut_detection__pair_times_s__p50,cut_detection__union_timestamps_sec__std,1.0
cut_detection__pair_times_s__p90,cut_detection__pair_times_s__std,1.0
cut_detection__pair_times_s__p90,cut_detection__union_timestamps_sec__max,1.0
cut_detection__pair_times_s__p90,cut_detection__union_timestamps_sec__mean,1.0
cut_detection__pair_times_s__p90,cut_detection__union_timestamps_sec__p50,1.0
cut_detection__pair_times_s__p90,cut_detection__union_timestamps_sec__p90,1.0
cut_detection__pair_times_s__p90,cut_detection__union_timestamps_sec__std,1.0
cut_detection__pair_times_s__std,cut_detection__union_timestamps_sec__max,1.0
cut_detection__pair_times_s__max,cut_detection__pair_times_s__mean,1.0
core_clip__times_s__p90,core_clip__times_s__std,1.0
cut_detection__pair_times_s__max,cut_detection__pair_times_s__p50,1.0
cut_detection__pair_times_s__max,cut_detection__pair_times_s__p90,1.0
cut_detection__pair_times_s__max,cut_detection__pair_times_s__std,1.0
cut_detection__pair_times_s__max,cut_detection__union_timestamps_sec__max,1.0
cut_detection__pair_times_s__max,cut_detection__union_timestamps_sec__mean,1.0
cut_detection__pair_times_s__max,cut_detection__union_timestamps_sec__p50,1.0
cut_detection__pair_times_s__max,cut_detection__union_timestamps_sec__p90,1.0
cut_detection__pair_times_s__max,cut_detection__union_timestamps_sec__std,1.0
cut_detection__pair_times_s__mean,cut_detection__pair_times_s__p50,1.0
cut_detection__pair_times_s__mean,cut_detection__pair_times_s__p90,1.0
cut_detection__pair_times_s__mean,cut_detection__pair_times_s__std,1.0
cut_detection__pair_times_s__mean,cut_detection__union_timestamps_sec__max,1.0
cut_detection__pair_times_s__mean,cut_detection__union_timestamps_sec__mean,1.0
cut_detection__pair_times_s__mean,cut_detection__union_timestamps_sec__p50,1.0
cut_detection__flow_mag__mean,cut_detection__soft_flow_mag__mean,1.0
cut_detection__flow_mag__min,cut_detection__motion_flow_mag__min,1.0
cut_detection__flow_mag__min,cut_detection__soft_flow_mag__min,1.0
cut_detection__flow_mag__p50,cut_detection__motion_flow_mag__p50,1.0
cut_detection__flow_mag__p50,cut_detection__soft_flow_mag__p50,1.0
cut_detection__flow_mag__p90,cut_detection__motion_flow_mag__p90,1.0
cut_detection__flow_mag__p90,cut_detection__soft_flow_mag__p90,1.0
cut_detection__flow_mag__std,cut_detection__motion_flow_mag__std,1.0
cut_detection__flow_mag__std,cut_detection__soft_flow_mag__std,1.0
cut_detection__motion_dir_valid_mask__mean,cut_detection__motion_var_valid_mask__mean,1.0
cut_detection__motion_flow_mag__max,cut_detection__soft_flow_mag__max,1.0
cut_detection__motion_flow_mag__mean,cut_detection__soft_flow_mag__mean,1.0
cut_detection__motion_flow_mag__min,cut_detection__soft_flow_mag__min,1.0
cut_detection__motion_flow_mag__p50,cut_detection__soft_flow_mag__p50,1.0
cut_detection__motion_flow_mag__p90,cut_detection__soft_flow_mag__p90,1.0
cut_detection__motion_flow_mag__std,cut_detection__soft_flow_mag__std,1.0
cut_detection__cuts_per_minute,cut_detection__hard_cuts_per_minute,1.0
cut_detection__flow_mag__max,cut_detection__motion_flow_mag__max,1.0
cut_detection__flow_mag__max,cut_detection__soft_flow_mag__max,1.0
cut_detection__flow_mag__mean,cut_detection__motion_flow_mag__mean,1.0
core_optical_flow__preview_cur_times_s__std,core_optical_flow__preview_prev_times_s__mean,1.0
core_optical_flow__preview_cur_times_s__std,core_optical_flow__preview_prev_times_s__p50,1.0
core_optical_flow__preview_cur_times_s__std,core_optical_flow__preview_prev_times_s__p90,1.0
core_optical_flow__preview_cur_times_s__std,core_optical_flow__preview_prev_times_s__std,1.0
core_optical_flow__preview_cur_times_s__std,core_optical_flow__times_s__max,1.0
core_optical_flow__preview_cur_times_s__std,core_optical_flow__times_s__mean,1.0
core_optical_flow__preview_cur_times_s__std,core_optical_flow__times_s__p50,1.0
core_optical_flow__preview_pair_pos__mean,core_optical_flow__preview_pair_pos__p50,1.0
core_optical_flow__preview_pair_pos__mean,core_optical_flow__preview_pair_pos__p90,1.0
core_optical_flow__preview_pair_pos__mean,core_optical_flow__preview_pair_pos__std,1.0
core_optical_flow__preview_pair_pos__p50,core_optical_flow__preview_pair_pos__p90,1.0
core_optical_flow__preview_pair_pos__p50,core_optical_flow__preview_pair_pos__std,1.0
core_optical_flow__preview_pair_pos__p90,core_optical_flow__preview_pair_pos__std,1.0
core_optical_flow__preview_prev_times_s__max,core_optical_flow__preview_prev_times_s__mean,1.0
core_optical_flow__preview_prev_times_s__max,core_optical_flow__preview_prev_times_s__p50,1.0
core_optical_flow__times_s__p90,core_optical_flow__times_s__std,1.0
core_optical_flow__preview_cur_times_s__p90,core_optical_flow__preview_prev_times_s__p90,1.0
core_optical_flow__preview_cur_times_s__p90,core_optical_flow__preview_prev_times_s__std,1.0
core_optical_flow__preview_prev_times_s__max,core_optical_flow__preview_prev_times_s__std,1.0
core_optical_flow__preview_prev_times_s__max,core_optical_flow__times_s__max,1.0
core_optical_flow__preview_prev_times_s__max,core_optical_flow__times_s__mean,1.0
core_optical_flow__preview_prev_times_s__max,core_optical_flow__times_s__p50,1.0
core_optical_flow__preview_prev_times_s__max,core_optical_flow__times_s__p90,1.0
core_optical_flow__preview_prev_times_s__max,core_optical_flow__times_s__std,1.0
core_optical_flow__times_s__p50,core_optical_flow__times_s__p90,1.0
core_optical_flow__times_s__p50,core_optical_flow__times_s__std,1.0
core_optical_flow__preview_cur_times_s__p90,core_optical_flow__preview_cur_times_s__std,1.0
core_optical_flow__preview_prev_times_s__mean,core_optical_flow__preview_prev_times_s__p50,1.0
core_optical_flow__preview_cur_times_s__p50,core_optical_flow__times_s__p50,1.0
core_optical_flow__preview_cur_times_s__p50,core_optical_flow__times_s__p90,1.0
core_optical_flow__preview_cur_times_s__p50,core_optical_flow__times_s__std,1.0
core_optical_flow__preview_cur_times_s__p50,core_optical_flow__preview_cur_times_s__p90,1.0
core_optical_flow__preview_cur_times_s__p50,core_optical_flow__preview_cur_times_s__std,1.0
core_optical_flow__preview_cur_times_s__p50,core_optical_flow__preview_prev_times_s__max,1.0
core_optical_flow__preview_cur_times_s__p50,core_optical_flow__preview_prev_times_s__mean,1.0
core_optical_flow__preview_cur_times_s__p50,core_optical_flow__preview_prev_times_s__p50,1.0
core_optical_flow__preview_cur_times_s__p50,core_optical_flow__preview_prev_times_s__p90,1.0
core_optical_flow__preview_cur_times_s__p50,core_optical_flow__preview_prev_times_s__std,1.0
core_optical_flow__preview_cur_times_s__p50,core_optical_flow__times_s__max,1.0
core_optical_flow__preview_cur_times_s__p50,core_optical_flow__times_s__mean,1.0
core_optical_flow__preview_prev_times_s__mean,core_optical_flow__preview_prev_times_s__std,1.0
core_optical_flow__preview_prev_times_s__mean,core_optical_flow__times_s__max,1.0
