feature,component,spearman_vs_residual,spearman_vs_target
video_pacing__high_change_frames_ratio,video_pacing,-0.0986,-0.1287
cut_detection__edit_style_high_action_prob,cut_detection,0.0954,0.0712
core_optical_flow__flow_dir_dispersion__min,core_optical_flow,0.0942,0.055
cut_detection__scene_whoosh_transition_prob,cut_detection,-0.0851,-0.067
scene_classification__length_frames__std,scene_classification,-0.0838,-0.0701
video_pacing__cut_density_map_8bins_1,video_pacing,0.0835,0.1317
scene_classification__length_frames__p90,scene_classification,-0.0818,-0.0891
video_pacing__cut_density_map_8bins_6,video_pacing,0.0792,0.0989
scene_classification__length_frames__max,scene_classification,-0.077,-0.0724
video_pacing__shot_duration_std,video_pacing,-0.0761,-0.1235
video_pacing__cuts_variance,video_pacing,-0.0761,-0.1235
core_optical_flow__preview_flow_mag_map_norm__p90,core_optical_flow,-0.0745,-0.035
scene_classification__top1_vs_top2_gap_mean__min,scene_classification,0.0728,0.0153
core_clip__scene_aesthetic_scores__max,core_clip,0.0681,0.105
core_clip__frame_embeddings__mean,core_clip,0.0672,0.1529
video_pacing__cut_density_map_8bins_3,video_pacing,0.0644,0.0622
core_clip__scene_aesthetic_scores__p50,core_clip,0.0642,0.039
core_clip__scene_aesthetic_scores__std,core_clip,0.0633,0.1153
core_clip__popularity_topic_scores__min,core_clip,0.0618,0.0762
core_clip__scene_aesthetic_scores__p90,core_clip,0.0616,0.1056
core_clip__frame_embeddings__p50,core_clip,0.0609,0.0857
video_pacing__shot_duration_max,video_pacing,-0.0608,-0.1006
video_pacing__pacing_symmetry,video_pacing,0.0603,0.0544
cut_detection__soft_lab_l__min,cut_detection,0.0598,0.0149
cut_detection__soft_hsv_v__min,cut_detection,0.0595,0.015
video_pacing__cuts_per_10s_median,video_pacing,0.0592,0.1155
cut_detection__cut_rhythm_uniformity_score,cut_detection,0.0586,0.052
video_pacing__cuts_per_10s,video_pacing,0.0581,0.1195
core_clip__scene_aesthetic_scores__mean,core_clip,0.0581,0.0592
cut_detection__cut_interval_cv,cut_detection,-0.058,-0.0523
scene_classification__frame_scene_embedding__p50,scene_classification,0.0578,0.1078
video_pacing__cuts_per_10s_max,video_pacing,0.0578,0.1305
cut_detection__hard_cuts_per_minute,cut_detection,0.057,0.1139
cut_detection__cuts_per_minute,cut_detection,0.057,0.1139
scene_classification__frame_top1_prob__min,scene_classification,0.0566,0.0096
core_clip__places365_video_topk_indices__p50,core_clip,-0.0563,-0.0787
cut_detection__ssim_drop__max,cut_detection,-0.0557,-0.0551
scene_classification__length_seconds__min,scene_classification,0.0556,-0.0779
scene_classification__scene_change_score__std,scene_classification,-0.0551,-0.0387
scene_classification__frame_scene_embedding__std,scene_classification,0.055,0.1361
core_optical_flow__flow_dir_dispersion__p50,core_optical_flow,0.055,0.0486
cut_detection__shot_length_histogram__mean,cut_detection,-0.0536,-0.0737
cut_detection__ssim_drop__p50,cut_detection,-0.0528,-0.0253
scene_classification__top1_prob_mean__std,scene_classification,-0.0527,-0.0698
scene_classification__mean_score__std,scene_classification,-0.0527,-0.0698
cut_detection__soft_hsv_v__mean,cut_detection,0.0519,-0.0329
scene_classification__mean_score__min,scene_classification,0.0517,-0.0045
scene_classification__top1_prob_mean__min,scene_classification,0.0517,-0.0045
video_pacing__shot_duration_mean,video_pacing,-0.0514,-0.1048
core_optical_flow__flow_dir_cos_mean__max,core_optical_flow,-0.051,-0.0181
core_clip__places365_topk_indices__p50,core_clip,-0.051,-0.0608
core_optical_flow__preview_flow_mag_map_norm__mean,core_optical_flow,-0.051,-0.0465
cut_detection__cut_interval_std,cut_detection,-0.0508,-0.0889
cut_detection__motion_dir_consistency__min,cut_detection,-0.0506,-0.0497
cut_detection__very_long_shots_count,cut_detection,-0.0504,-0.0916
cut_detection__ssim_drop__mean,cut_detection,-0.0497,-0.0215
cut_detection__shot_length_p90,cut_detection,-0.0496,-0.0993
scene_classification__class_entropy_mean__std,scene_classification,-0.0483,-0.032
cut_detection__event_strength__p90,cut_detection,-0.0478,-0.0688
cut_detection__threshold_ssim__max,cut_detection,-0.0476,-0.028
cut_detection__threshold_ssim__p50,cut_detection,-0.0476,-0.028
cut_detection__threshold_ssim__min,cut_detection,-0.0476,-0.028
cut_detection__threshold_ssim__mean,cut_detection,-0.0476,-0.028
cut_detection__threshold_ssim__p90,cut_detection,-0.0476,-0.028
core_clip__places365_video_topk_indices__std,core_clip,0.0473,0.047
cut_detection__event_type_id__p50,cut_detection,-0.0473,-0.0407
core_clip__places365_topk_indices__mean,core_clip,-0.0467,-0.0845
scene_classification__top1_vs_top2_gap_mean__std,scene_classification,-0.0465,-0.0859
cut_detection__shot_length_p75,cut_detection,-0.0465,-0.1084
core_clip__places365_video_topk_indices__mean,core_clip,-0.0462,-0.083
scene_classification__length_seconds__std,scene_classification,-0.0456,-0.0961
cut_detection__motion_dir_consistency__p90,cut_detection,-0.0455,-0.0603
cut_detection__soft_hsv_v__p50,cut_detection,0.0455,-0.0361
core_clip__scene_luxury_scores__min,core_clip,0.0454,0.0583
cut_detection__max_cut_interval,cut_detection,-0.0454,-0.0865
cut_detection__soft_lab_l__mean,cut_detection,0.0453,-0.0534
core_clip__popularity_topic_scores__std,core_clip,-0.0453,-0.0424
scene_classification__fraction_high_confidence_frames__min,scene_classification,0.0448,-0.0244
core_clip__frame_embeddings__std,core_clip,0.0446,0.0975
video_pacing__motion_speed_variance,video_pacing,-0.0444,0.0799
video_pacing__cut_density_map_8bins_2,video_pacing,0.0442,0.098
scene_classification__length_frames__mean,scene_classification,-0.0439,-0.0693
scene_classification__frame_top1_top2_gap__max,scene_classification,0.0439,0.0131
cut_detection__hard_score__mean,cut_detection,0.0438,0.0829
cut_detection__avg_shot_length,cut_detection,-0.0437,-0.102
scene_classification__fraction_high_confidence_frames__std,scene_classification,-0.0431,-0.0821
core_clip__popularity_topic_scores__mean,core_clip,0.043,0.0607
scene_classification__frame_top1_prob__max,scene_classification,0.0426,0.0104
scene_classification__frame_topk_probs__max,scene_classification,0.0426,0.0104
core_optical_flow__flow_dir_dispersion__mean,core_optical_flow,0.0421,0.0495
video_pacing__cut_density_map_8bins_4,video_pacing,0.042,0.0853
cut_detection__soft_lab_l__std,cut_detection,-0.0418,-0.0118
core_clip__scene_luxury_scores__mean,core_clip,0.0418,-0.0034
cut_detection__event_type_id__std,cut_detection,-0.0414,-0.0017
core_clip__scene_aesthetic_scores__min,core_clip,0.0414,0.0317
video_pacing__share_of_high_motion_frames,video_pacing,-0.0411,-0.0593
core_optical_flow__flow_dir_cos_mean__min,core_optical_flow,0.0407,-0.0245
cut_detection__event_type_id__mean,cut_detection,-0.0405,-0.0241
video_pacing__intro_speed,video_pacing,-0.0402,-0.1125
scene_classification__frame_entropy__max,scene_classification,-0.0402,-0.0002
core_clip__popularity_topic_scores__p50,core_clip,0.0399,0.042
core_clip__scene_luxury_scores__p50,core_clip,0.0398,-0.0094
cut_detection__hard_score__std,cut_detection,0.0397,0.0591
cut_detection__soft_hsv_v__std,cut_detection,-0.0397,-0.0058
cut_detection__motion_mag_variance__p50,cut_detection,-0.0392,-0.0092
video_pacing__motion_shot_corr,video_pacing,0.0386,0.0565
core_clip__popularity_topic_scores__p90,core_clip,0.0385,0.0752
cut_detection__event_strength__mean,cut_detection,-0.0381,-0.1062
cut_detection__dissolve_count,cut_detection,0.0373,0.0085
cut_detection__soft_lab_l__p50,cut_detection,0.0373,-0.0592
