feature,component,spearman_vs_residual,spearman_vs_target
core_clip__places365_video_topk_indices__mean,core_clip,-0.2333,-0.1309
core_clip__places365_topk_indices__mean,core_clip,-0.2099,-0.1162
core_optical_flow__flow_dir_dispersion__mean,core_optical_flow,0.2011,0.168
core_optical_flow__flow_dir_dispersion__p50,core_optical_flow,0.1813,0.1522
core_clip__places365_video_topk_indices__p50,core_clip,-0.1761,-0.0795
core_clip__places365_topk_indices__p50,core_clip,-0.1721,-0.0958
scene_classification__frame_topk_ids__p90,scene_classification,-0.1631,-0.2219
core_optical_flow__preview_flow_mag_map_norm__p90,core_optical_flow,-0.1609,-0.0593
core_clip__places365_video_topk_indices__p90,core_clip,-0.1606,-0.0678
scene_classification__frame_topk_ids__mean,scene_classification,-0.1581,-0.1737
core_optical_flow__flow_dir_dispersion__p90,core_optical_flow,0.1523,0.1582
video_pacing__cut_density_map_8bins_5,video_pacing,0.1468,0.0692
core_optical_flow__flow_dir_dispersion__min,core_optical_flow,0.1404,0.1374
video_pacing__cuts_per_10s_max,video_pacing,0.1404,0.1535
core_optical_flow__flow_dir_cos_mean__max,core_optical_flow,-0.1367,-0.0968
video_pacing__cut_density_map_8bins_2,video_pacing,0.133,0.0879
cut_detection__cut_rhythm_uniformity_score,cut_detection,0.1323,0.1958
cut_detection__cut_interval_cv,cut_detection,-0.1316,-0.1953
core_clip__popularity_topic_scores__min,core_clip,0.1305,0.1753
core_clip__popularity_topic_scores__std,core_clip,-0.1277,-0.111
core_optical_flow__preview_flow_mag_map_norm__mean,core_optical_flow,-0.127,-0.0641
core_clip__places365_video_topk_indices__max,core_clip,-0.1247,-0.1157
cut_detection__event_type_id__mean,cut_detection,-0.1245,-0.128
cut_detection__cuts_per_minute,cut_detection,0.1215,0.2135
cut_detection__hard_cuts_per_minute,cut_detection,0.1215,0.2135
scene_classification__frame_top1_prob__min,scene_classification,0.1208,0.1253
cut_detection__event_type_id__std,cut_detection,-0.1185,-0.0726
cut_detection__motion_mag_variance__std,cut_detection,-0.1183,-0.0226
scene_classification__frame_entropy__max,scene_classification,-0.1167,-0.134
core_optical_flow__cam_affine_rotation__p50,core_optical_flow,0.116,0.0647
core_clip__scene_aesthetic_scores__min,core_clip,0.1143,0.1096
